Date,State,Infection_Count
2020-06-30,SIKKIM,38.0
2020-06-30,TAMIL NADU,40093.0
2020-06-30,TELANGANA,9045.0
2020-06-30,TRIPURA,301.0
2020-06-30,UTTAR PRADESH,7408.0
2020-06-30,UTTARAKHAND,650.0
2020-06-30,WEST BENGAL,6429.0
2020-07-31,ANDAMAN & NICOBAR,334.0
2020-07-31,ANDHRA PRADESH,77069.0
2020-07-31,ARUNACHAL PRADESH,673.0
2020-07-31,ASSAM,9912.0
2020-07-31,BIHAR,17337.0
2020-07-31,CHANDIGARH,384.0
2020-07-31,CHHATTISGARH,2962.0
2020-07-31,DADRA & NAGAR HAVE,424.0
2020-07-31,DAMAN & DIU,424.0
2020-07-31,DELHI,14668.0
2020-07-31,GOA,1702.0
2020-07-31,GUJARAT,16531.0
2020-07-31,HARYANA,6738.0
2020-07-31,HIMACHAL PRADESH,1105.0
2020-07-31,JAMMU & KASHMIR,8142.0
2020-07-31,JHARKHAND,6971.0
2020-07-31,KARNATAKA,74327.0
2020-07-31,KERALA,10587.0
2020-07-31,LADAKH,309.0
2020-07-31,LAKSHADWEEP,
2020-07-31,MADHYA PRADESH,9535.0
2020-07-31,MAHARASHTRA,165960.0
2020-07-31,MANIPUR,932.0
2020-07-31,MEGHALAYA,608.0
2020-07-31,MIZORAM,161.0
2020-07-31,NAGALAND,1058.0
2020-07-31,ODISHA,11359.0
2020-07-31,PUDUCHERRY,1372.0
2020-07-31,PUNJAB,5385.0
2020-07-31,RAJASTHAN,12238.0
2020-07-31,SIKKIM,408.0
2020-07-31,TAMIL NADU,61903.0
2020-07-31,TELANGANA,17315.0
2020-07-31,TRIPURA,1669.0
2020-07-31,UTTAR PRADESH,36598.0
2020-07-31,UTTARAKHAND,3015.0
2020-07-31,WEST BENGAL,21814.0
2020-08-31,ANDAMAN & NICOBAR,485.0
2020-08-31,ANDHRA PRADESH,104245.0
2020-08-31,ARUNACHAL PRADESH,1227.0
2020-08-31,ASSAM,23582.0
2020-08-31,BIHAR,16765.0
2020-08-31,CHANDIGARH,1915.0
2020-08-31,CHHATTISGARH,14514.0
2020-08-31,DADRA & NAGAR HAVE,286.0
2020-08-31,DAMAN & DIU,286.0
2020-08-31,DELHI,19070.0
2020-08-31,GOA,3841.0
2020-08-31,GUJARAT,18553.0
2020-08-31,HARYANA,12060.0
2020-08-31,HIMACHAL PRADESH,1643.0
2020-08-31,JAMMU & KASHMIR,8683.0
2020-08-31,JHARKHAND,14513.0
2020-08-31,KARNATAKA,92956.0
2020-08-31,KERALA,23844.0
2020-08-31,LADAKH,807.0
2020-08-31,LAKSHADWEEP,
2020-08-31,MADHYA PRADESH,15308.0
2020-08-31,MAHARASHTRA,218982.0
2020-08-31,MANIPUR,1924.0
2020-08-31,MEGHALAYA,1206.0
2020-08-31,MIZORAM,422.0
2020-08-31,NAGALAND,892.0
2020-08-31,ODISHA,26250.0
2020-08-31,PUDUCHERRY,5077.0
2020-08-31,PUNJAB,16965.0
2020-08-31,RAJASTHAN,14881.0
2020-08-31,SIKKIM,427.0
2020-08-31,TAMIL NADU,59900.0
2020-08-31,TELANGANA,32126.0
2020-08-31,TRIPURA,4211.0
2020-08-31,UTTAR PRADESH,58274.0
2020-08-31,UTTARAKHAND,6219.0
2020-08-31,WEST BENGAL,28508.0
2020-09-30,ANDAMAN & NICOBAR,227.0
2020-09-30,ANDHRA PRADESH,64273.0
2020-09-30,ARUNACHAL PRADESH,2906.0
2020-09-30,ASSAM,35196.0
2020-09-30,BIHAR,13281.0
2020-09-30,CHANDIGARH,2125.0
2020-09-30,CHHATTISGARH,31884.0
2020-09-30,DADRA & NAGAR HAVE,138.0
2020-09-30,DAMAN & DIU,138.0
2020-09-30,DELHI,32269.0
2020-09-30,GOA,5293.0
2020-09-30,GUJARAT,20063.0
2020-09-30,HARYANA,15722.0
2020-09-30,HIMACHAL PRADESH,3606.0
2020-09-30,JAMMU & KASHMIR,18198.0
2020-09-30,JHARKHAND,12309.0
2020-09-30,KARNATAKA,116499.0
2020-09-30,KERALA,67883.0
2020-09-30,LADAKH,1122.0
2020-09-30,LAKSHADWEEP,
2020-09-30,MADHYA PRADESH,23313.0
2020-09-30,MAHARASHTRA,296124.0
2020-09-30,MANIPUR,2525.0
2020-09-30,MEGHALAYA,1664.0
2020-09-30,MIZORAM,388.0
2020-09-30,NAGALAND,1138.0
2020-09-30,ODISHA,33419.0
2020-09-30,PUDUCHERRY,5470.0
2020-09-30,PUNJAB,20220.0
2020-09-30,RAJASTHAN,22067.0
2020-09-30,SIKKIM,709.0
2020-09-30,TAMIL NADU,55783.0
2020-09-30,TELANGANA,30453.0
2020-09-30,TRIPURA,6062.0
2020-09-30,UTTAR PRADESH,56667.0
2020-09-30,UTTARAKHAND,9965.0
2020-09-30,WEST BENGAL,31290.0
2020-10-31,ANDAMAN & NICOBAR,232.0
2020-10-31,ANDHRA PRADESH,31265.0
2020-10-31,ARUNACHAL PRADESH,1893.0
2020-10-31,ASSAM,10300.0
2020-10-31,BIHAR,8953.0
2020-10-31,CHANDIGARH,867.0
2020-10-31,CHHATTISGARH,24191.0
2020-10-31,DADRA & NAGAR HAVE,68.0
2020-10-31,DAMAN & DIU,68.0
2020-10-31,DELHI,39230.0
2020-10-31,GOA,2948.0
2020-10-31,GUJARAT,16725.0
2020-10-31,HARYANA,13980.0
2020-10-31,HIMACHAL PRADESH,3221.0
2020-10-31,JAMMU & KASHMIR,7897.0
2020-10-31,JHARKHAND,6186.0
2020-10-31,KARNATAKA,66204.0
2020-10-31,KERALA,92782.0
2020-10-31,LADAKH,731.0
2020-10-31,LAKSHADWEEP,
2020-10-31,MADHYA PRADESH,11880.0
2020-10-31,MAHARASHTRA,168053.0
2020-10-31,MANIPUR,3642.0
2020-10-31,MEGHALAYA,1107.0
2020-10-31,MIZORAM,431.0
2020-10-31,NAGALAND,1672.0
2020-10-31,ODISHA,14367.0
2020-10-31,PUDUCHERRY,4289.0
2020-10-31,PUNJAB,8460.0
2020-10-31,RAJASTHAN,17009.0
2020-10-31,SIKKIM,405.0
2020-10-31,TAMIL NADU,33286.0
2020-10-31,TELANGANA,19745.0
2020-10-31,TRIPURA,1859.0
2020-10-31,UTTAR PRADESH,30793.0
2020-10-31,UTTARAKHAND,5405.0
2020-10-31,WEST BENGAL,43727.0
2020-11-30,ANDAMAN & NICOBAR,160.0
2020-11-30,ANDHRA PRADESH,14832.0
2020-11-30,ARUNACHAL PRADESH,871.0
2020-11-30,ASSAM,4383.0
2020-11-30,BIHAR,6818.0
2020-11-30,CHANDIGARH,1339.0
2020-11-30,CHHATTISGARH,22496.0
2020-11-30,DADRA & NAGAR HAVE,50.0
